Generated by http://statistics.gov.scot,2016-02-18T12:13:22+00:00
http://statistics.gov.scot/data/neet,"Not in Employment, Education or Training (NEET)"
measure type,""
Measure (cell values): ,Count (16 to 19 Year Olds)

,,http://reference.data.gov.uk/id/year/2003,http://reference.data.gov.uk/id/year/2004,http://reference.data.gov.uk/id/year/2005,http://reference.data.gov.uk/id/year/2006,http://reference.data.gov.uk/id/year/2007,http://reference.data.gov.uk/id/year/2008,http://reference.data.gov.uk/id/year/2009,http://reference.data.gov.uk/id/year/2010
http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,2003,2004,2005,2006,2007,2008,2009,2010
http://statistics.gov.scot/id/statistical-geography/S12000021,North Ayrshire,950,910,830,900,810,850,980,920
http://statistics.gov.scot/id/statistical-geography/S12000014,Falkirk,950,880,740,690,650,730,880,840
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,360,340,280,320,280,320,350,340
http://statistics.gov.scot/id/statistical-geography/S12000011,East Renfrewshire,310,390,240,250,200,200,260,270
http://statistics.gov.scot/id/statistical-geography/S12000023,Orkney Islands,60,60,70,60,50,60,50,50
http://statistics.gov.scot/id/statistical-geography/S12000010,East Lothian,440,380,420,410,330,440,470,480
http://statistics.gov.scot/id/statistical-geography/S12000045,East Dunbartonshire,420,370,310,290,210,300,370,340
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,"1,870","1,730","1,960","1,700","1,540","1,690","1,900","1,800"
http://statistics.gov.scot/id/statistical-geography/S12000026,Scottish Borders,330,380,350,370,300,450,480,450
http://statistics.gov.scot/id/statistical-geography/S12000040,West Lothian,950,890,950,890,920,990,"1,060",920
http://statistics.gov.scot/id/statistical-geography/S12000030,Stirling,440,370,400,320,300,380,370,410
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,"1,020",990,730,720,610,670,750,700
http://statistics.gov.scot/id/statistical-geography/S12000024,Perth and Kinross,480,480,370,420,370,390,430,500
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,550,500,420,480,410,400,520,500
http://statistics.gov.scot/id/statistical-geography/S12000039,West Dunbartonshire,630,680,610,630,540,630,650,570
http://statistics.gov.scot/id/statistical-geography/S12000027,Shetland Islands,60,80,80,60,60,60,60,70
http://statistics.gov.scot/id/statistical-geography/S12000020,Moray,360,390,430,410,330,350,370,350
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,620,640,670,640,550,640,620,590
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,370,320,310,370,340,350,360,360
http://statistics.gov.scot/id/statistical-geography/S12000019,Midlothian,400,350,420,420,380,460,550,510
http://statistics.gov.scot/id/statistical-geography/S12000046,Glasgow City,"4,120","4,100","3,370","3,330","2,900","3,140","3,570","3,370"
http://statistics.gov.scot/id/statistical-geography/S12000018,Inverclyde,660,600,460,420,370,400,420,400
http://statistics.gov.scot/id/statistical-geography/S12000029,South Lanarkshire,"1,580","1,430","1,360","1,330","1,170","1,360","1,680","1,660"
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,"1,150","1,000",930,960,760,890,"1,010",920
http://statistics.gov.scot/id/statistical-geography/S12000008,East Ayrshire,880,830,880,820,670,770,830,760
http://statistics.gov.scot/id/statistical-geography/S12000013,Comhairle nan Eilean Siar,50,80,50,80,70,70,80,70
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,830,870,650,620,550,550,640,680
http://statistics.gov.scot/id/statistical-geography/S12000044,North Lanarkshire,"2,230","2,100","1,730","1,640","1,610","1,760","2,100","2,020"
http://statistics.gov.scot/id/statistical-geography/S12000028,South Ayrshire,590,660,550,550,470,530,580,570
http://statistics.gov.scot/id/statistical-geography/S12000017,Highland,950,980,940,800,690,810,990,960
http://statistics.gov.scot/id/statistical-geography/S12000015,Fife,"2,210","2,120","1,780","1,800","1,660","1,830","1,980","1,950"
http://statistics.gov.scot/id/statistical-geography/S12000038,Renfrewshire,"1,020","1,020",830,830,780,870,990,850
